item_id,entity_id,entity_name,score
18,14240,Bryn Mawr,7.0317707
18,14239,Ardmore,5.2257104
18,14244,brewery environment,3.2259123
18,14243,generous food offerings,2.9543302
18,14242,flavorful beers,1.1994785
18,14241,funky beers,0.79865867
18,14086,beers,0.62312096
18,14199,knowledgeable staff,-1.4341464
51,14426,bustling location,5.533461
51,14093,Philadelphia,1.9698966
51,14427,Vegetarian restaurant,-0.22031185
51,14425,plant-based burgers,-0.5520158
51,14428,Vegan restaurant,-2.6466901
51,14423,vegetarian options,-2.9253185
51,14424,quick service,-3.5176134
51,14306,vegan options,-4.8536057
1436,17252,charming ambiance,3.5828733
1436,17974,tapas bars,3.1021416
1436,14093,Philadelphia,1.9698966
1436,14215,attentive service,0.05793543
1436,14568,flavorful dishes,-1.2522727
1668,20244,limited liquor selection,2.1030138
1668,16608,delicious burgers,1.3058139
1668,14086,beers,0.62312096
1668,17797,unique appetizers,0.5385403
1668,16014,fans of craft beer,-0.055737015
1668,14265,burger,-0.05868081
1668,20243,cozy pub atmosphere,-1.102457
1668,14085,craft beers,-2.0629148
1668,14208,good service,-2.4431443
2194,21647,traditional classics,1.9847826
2194,14093,Philadelphia,1.9698966
2194,21648,value for money dining experiences,1.1979632
2194,15529,Italian food enthusiasts,-0.04357124
2194,14402,Italian,-4.5503173
2255,14163,fresh food,4.616606
2255,21824,pleasant overall dining experience,2.4852118
2255,17800,clean establishments,1.7553508
2255,14920,tasty food,-0.61130834
2255,14113,restaurant,-1.3666644
2255,14773,fast service,-1.6292832
2255,14259,friendly staff,-2.0812328
3029,23665,People looking for a cozy spot for a date,3.6663928
3029,23666,lower calorie options,2.984745
3029,15237,vegan dishes,-0.46943164
3029,15497,healthy food,-1.2145917
3029,14113,restaurant,-1.3666644
3029,14469,excellent service,-1.6902257
3029,19899,sophisticated,-1.7089792
3029,14423,vegetarian options,-2.9253185
3029,14306,vegan options,-4.8536057
3118,14464,bbq,2.9366603
3118,23868,Fans of smokehouse cuisine,2.4458196
3118,23869,People who enjoy hearty portions,2.3000674
3118,14093,Philadelphia,1.9698966
3118,15867,hearty portions,1.7665483
3118,23870,People seeking buffet options,1.618995
3118,15642,people who enjoy flavorful dishes,1.6020396
3118,23867,buffet on Monday nights,1.1228027
3118,21622,fans of bbq,0.7698019
3118,23866,smokehouse cuisine,-0.76388925
3118,14568,flavorful dishes,-1.2522727
