item_id,num_entities,avg_score,max_score,min_score
529,6,2.1414628,7.0396776,-0.95547193
1048,8,0.71202797,7.0396776,-5.4930124
1108,8,1.9747349,7.0396776,-1.3980337
2272,8,2.5777912,7.0396776,-0.4656514
3036,8,3.0857859,7.0396776,0.87565714
3106,8,1.4276512,7.0396776,-2.6529598
3183,3,3.224242,5.4683223,-0.8730241
3546,11,3.4644969,6.635976,-2.2293406
3636,8,2.9540944,8.559126,-0.17969249
3806,9,2.2265384,7.0396776,0.5638151
3813,6,4.239306,7.0396776,2.4166684
3826,8,2.8011136,7.0396776,0.48697448
4493,5,3.740913,7.0396776,-0.4014296
4567,9,0.27655026,7.0396776,-2.7217638
4837,7,2.73522,7.0396776,0.38663843
5228,10,2.164283,8.559126,-1.2306406
5844,9,2.0156105,7.0396776,-1.0748456
6049,11,2.5338469,4.79141,-1.5312514
6381,8,0.01579684,2.755914,-1.9240686
6439,10,2.5275521,6.461312,-2.2293406
6475,8,0.8678992,4.1868305,-2.239937
6490,9,0.67131215,7.0396776,-2.6643481
6503,7,3.1770191,7.0396776,1.1696702
6539,11,2.3023689,7.0396776,-1.8003303
7257,10,2.7544112,7.0396776,-0.122958444
7268,11,0.853096,4.1673656,-2.2293406
7688,6,-0.24154364,1.4339837,-1.2016416
8468,9,3.605579,7.0396776,1.3860999
8469,12,1.5285465,7.0396776,-0.6469627
8713,10,1.4281486,7.0396776,-1.8910422
9367,9,1.2682432,7.0396776,-2.2293406
9878,10,2.3175318,7.0396776,-0.5598025
10014,8,1.5617263,7.0396776,-2.2293406
10126,13,1.4570769,5.545465,-1.74781
10318,11,3.3168664,7.0396776,-0.42232344
11001,9,0.7280255,7.0396776,-1.6728817
11013,5,3.1902251,8.559126,0.81739616
11879,10,2.282517,7.0396776,-0.36350212
11960,6,1.6386257,4.1868305,-1.0748456
12177,8,1.0903058,7.0396776,-2.2814987
13245,8,1.6551721,8.559126,-1.5175147
13388,6,2.8642933,7.0396776,1.08991
13496,8,0.49336776,7.0396776,-1.782069
13610,5,2.5177064,3.3476105,1.2345166
13729,8,1.6524332,4.1868305,-0.96046144
