item_id,num_entities,avg_score,max_score,min_score
387,9,2.6946797,6.3553157,-0.6255855
1030,6,1.4475628,2.5654938,-0.78911304
3080,8,1.0386052,5.847522,-2.1802657
3248,8,0.8179802,1.3632516,-0.4081734
5154,12,1.4886732,5.405776,-1.0469267
5302,9,0.23178424,1.9925507,-2.196072
6189,7,0.85124636,3.4854448,-1.7388663
6372,9,1.7517295,4.3535438,-1.2502807
8584,12,2.0092642,3.9084952,-0.7318988
10201,6,1.3790525,3.648218,-0.9386912
11385,9,1.1495436,3.0993836,-1.3193127
11675,7,2.348112,5.405776,-0.4081734
12126,9,3.1432981,5.77006,0.24097402
12722,7,1.2323271,2.6945472,-0.2778236
13141,9,1.0541308,4.8776484,-3.1388776
13322,9,1.5293723,5.8478837,-2.1855907
13700,5,2.0393617,6.493983,-0.4081734
