item_id,entity_id,entity_name,score
3638,14418,Santa Barbara,7.4293504
3638,25095,restaurant setting,4.977402
3638,25096,high-quality presentation,4.1359196
3638,25094,fancy yet affordable dining,4.1182175
3638,16945,friendly and knowledgeable staff,3.02783
3638,14115,Mexican,1.384159
3638,14122,Fans of Mexican cuisine,0.9591747
3638,14783,drinks,0.73513234
7772,19537,ingredients,4.4784346
7772,14102,delicious food,3.956169
7772,15273,creative,2.8537354
7772,14280,unique flavors,2.1430924
7772,18016,Latin American dishes,2.0374875
7772,31388,gourmet,1.8311224
7772,33651,Gourmet restaurant,1.7770169
7772,14855,casual,1.440839
7772,14316,fresh,1.2361362
7772,14974,tacos,0.99180585
7772,14397,food enthusiasts,0.84386
13748,15196,breakfast items,4.227978
13748,17032,Sandwich shop,2.57315
13748,14718,salads,2.5642574
13748,14719,sandwiches,2.5035484
13748,14696,reasonable,2.1703596
13748,20659,quick lunches,2.1325858
13748,24244,leisurely meals,1.845184
13748,14230,varied menu options,1.5496624
13748,14229,friendly service,1.3671827
13748,14277,fresh ingredients,1.198653
13748,21128,salad bar,-0.42267516
13748,14228,generous portions,-0.56150603
