item_id,num_entities,avg_score,max_score,min_score
351,10,2.2142618,12.505889,-0.6548204
892,8,2.642203,12.505889,-1.2294396
3375,10,1.702852,12.505889,-2.7842803
3754,10,2.1680403,4.2102637,-0.2325782
4081,6,4.0309615,11.8186,-0.52039015
6442,9,1.282113,12.505889,-2.0186484
8050,7,3.3104095,12.505889,-0.9358647
9115,9,3.3172274,12.505889,-1.117426
9634,10,3.3252354,12.505889,-1.5957825
9901,5,4.11246,6.4483294,2.1895893
11705,6,2.3170543,12.505889,-0.896905
11814,6,1.9160123,6.037471,-0.896905
12552,8,1.1730797,3.8013635,-0.8637961
13373,5,4.251915,12.505889,0.5770043
13394,6,2.602526,12.505889,-0.9358647
