item_id,num_entities,avg_score,max_score,min_score
216,8,0.28427333,2.7172186,-1.3290207
391,7,0.10778548,3.494081,-1.3999692
516,5,0.9777118,3.494081,-0.93625325
731,9,0.7727562,3.494081,-0.43158475
809,9,0.6387298,3.494081,-1.495815
1296,6,0.49344802,2.5595903,-1.3199018
1321,10,0.1605697,2.7172186,-0.93625325
1658,8,0.389957,2.7172186,-1.4744133
1729,7,0.4182146,2.6444793,-1.3999692
2075,7,2.0276484,3.494081,0.27250436
2171,10,0.26123407,3.494081,-0.93625325
2172,9,0.37165588,1.0641987,-0.67039627
2328,10,0.8813027,3.0806048,-0.52112794
2948,6,0.5967671,3.2451773,-0.93625325
2952,7,0.5801164,3.494081,-1.4019669
3650,6,0.42034903,3.494081,-1.009046
3969,15,0.44419092,2.3162932,-1.4755076
3990,8,0.29505852,3.494081,-1.3145145
4003,10,1.0100429,3.494081,-0.1948921
4024,12,-0.07329637,1.069384,-1.3999692
4041,8,1.6915855,3.494081,-1.4744133
4372,13,1.5006297,3.494081,-0.3076368
4508,8,-0.68893725,0.25521356,-1.4890248
4968,6,0.66597927,1.5687593,-0.46890467
4992,7,0.65271944,1.5040065,-0.96124685
5777,6,-0.81542045,-0.22534402,-1.3999692
6146,9,0.56718445,3.494081,-0.52711385
6376,10,-0.38987136,0.6623148,-1.0887469
6768,7,-0.048675656,3.494081,-1.3999692
6788,11,0.33107102,2.536423,-1.4744133
7294,10,0.39152747,2.548256,-1.6062734
7412,11,0.9926202,3.494081,-0.51384157
7625,9,0.86181027,2.7172186,-0.75882065
7677,10,0.95726186,2.7172186,-1.1557672
7880,7,0.3568521,1.0955979,-0.48005515
8163,5,0.6908525,1.7199987,-1.3999692
8191,6,1.0841863,2.7172186,-1.0213274
8352,9,0.63593125,2.7172186,-0.93625325
8505,6,0.6684243,2.7172186,-1.0167851
9209,7,0.6600999,1.7879473,-0.6415868
9399,10,0.7354568,3.494081,-1.3210742
9571,9,1.4067434,3.494081,-1.1938213
10335,9,1.5618988,3.494081,-0.40026274
10360,9,1.6725112,3.494081,-0.9474372
10362,11,0.49019966,1.5170143,-0.96124685
10370,9,0.17196709,2.39314,-0.96251667
10910,11,1.1054027,2.7172186,-1.2986716
11343,9,1.253447,3.494081,-1.6062734
11413,12,1.0710933,2.748952,-1.3999692
11713,10,0.2681498,1.517999,-1.4019669
11981,7,0.067630656,0.6216898,-0.8151056
12737,8,0.47902894,3.494081,-1.3999692
12763,7,0.30086368,3.494081,-1.6062734
12843,11,0.5567796,2.7172186,-2.0497541
12908,6,0.061801452,3.494081,-1.3905576
13223,7,0.40890768,3.494081,-1.2067713
13470,16,0.83585936,3.494081,-0.81524163
13734,11,1.0433011,2.911258,-1.6062734
