item_id,entity_id,entity_name,score
2756,17765,wide variety of items,3.444644
2756,18541,buying in bulk,3.2323837
2756,22985,discounts on gas,2.6431472
2756,15750,Warehouse club,2.223371
4016,14921,St. Louis,4.5863485
4016,25904,Individuals who enjoy a wide variety of flavors,3.349558
4016,25902,fresh fruit options,2.617147
4016,25903,clean and friendly environments,2.4356148
4016,14558,frozen yogurt,2.4050438
4016,14522,dessert,1.4126374
5413,14392,Saint Louis,4.7785277
5413,14567,steak,1.0452431
5413,20520,quality steaks,0.67431
5413,14214,cozy,0.6536727
5413,14696,reasonable,0.01585115
5413,15474,steakhouse,-0.10965566
5413,14215,attentive service,-2.2752964
8227,14921,St. Louis,4.5863485
8227,30814,opera,2.2634075
8227,34494,stellar views,2.2228518
8227,34493,beautifully restored venue,2.1273806
8227,30815,musicals,2.0341413
8227,25988,ballet,1.9658252
8227,16092,live performances,-4.0241585
8499,16497,comfort food lovers,6.1466217
8499,34981,chicken parmesan,4.0808992
8499,34982,southern-style dishes,3.08178
8499,34983,donation opportunities,3.0735013
8499,14802,comfort food,1.8882334
8499,14214,cozy,0.6536727
8499,14189,chicken wings,0.0333778
8499,14935,fried chicken,-0.22169507
8499,14208,good service,-0.2549694
10066,37833,Baja style Mexican food,5.3110905
10066,33578,Manchester,4.0564265
10066,14855,casual,2.9218228
10066,14949,margaritas,0.65678364
10066,14974,tacos,0.0237592
10066,14115,Mexican,-2.3676355
11728,40792,family-friendly 24/7 dining,6.5654826
11728,40791,fried goods,6.3966217
11728,40790,sammiches,5.866013
11728,21666,American fare,4.829103
11728,40789,local community members,4.7263536
11728,33206,seniors,3.924764
11728,14802,comfort food,1.8882334
11728,21522,late-night diners,1.1648815
11728,14228,generous portions,0.72124016
11728,16705,dining experience,0.18491434
11728,22360,American food,-0.87124723
12682,36685,seafood boils,4.468701
12682,42505,flavorful boils,3.570537
12682,42506,messy bathroom,3.4475935
12682,19666,themed decor,2.9657915
12682,14211,seafood enthusiasts,1.9674133
12682,14096,lively atmosphere,0.8753178
12682,14228,generous portions,0.72124016
12682,14206,seafood,-0.3415521
12682,17830,crawfish,-0.3961936
12682,14215,attentive service,-2.2752964
12745,14392,Saint Louis,4.7785277
12745,20992,Stadium,4.526449
12745,40320,baseball,3.6588635
12745,42618,accessible venues,3.5497653
12745,14405,live entertainment,2.136472
12745,21580,family-friendly activities,1.6169156
12745,16694,discounts,0.98082006
12745,14696,reasonable,0.01585115
12745,14087,diverse food options,-2.307931
