item_id,entity_id,entity_name,score
5335,28840,upscale pub food,4.6895094
5335,28839,pub dishes,4.667276
5335,28837,unique house brews,4.657583
5335,28838,ever-changing beer menu,4.239811
5335,20827,wide variety of craft beers,4.0187645
5335,25826,thin crust pizzas,3.8783693
5335,14453,pub food,3.5834272
5335,15503,thin crust pizza,2.498118
5335,14086,beers,2.2393134
5335,14304,pizza,1.0235522
5335,14085,craft beers,-0.025325676
7495,14462,Edmonton,7.7672057
7495,33113,generous buffet options,4.3594017
7495,33114,families with picky eaters,3.7189982
7495,15641,Indian food enthusiasts,3.0822656
7495,14090,vegetarians,2.0815735
7495,14568,flavorful dishes,1.9396104
7495,15636,Indian food,1.5901622
7495,14262,Indian restaurant,1.3911362
7495,17788,adventurous eaters,0.18514228
