item_id,entity_id,entity_name,score
6542,14500,reasonably priced,2.323855
6542,16746,Fans of Indian cuisine,2.0353873
6542,16749,Indian dishes,1.6804674
6542,14796,vegetarian diners,1.3727294
6542,29385,Customers seeking value,1.342225
6542,16063,authentic,1.1502945
6542,14423,vegetarian options,1.0385972
6542,14229,friendly service,0.8903841
6542,14826,flavorful,0.6071817
6542,14255,Indian cuisine,0.06940377
13262,43437,upbeat nightlife atmosphere,3.9125369
13262,20827,wide variety of craft beers,3.4850442
13262,18283,vegetarian cuisine,2.2879245
13262,14152,American cuisine,1.3857626
13262,14229,friendly service,0.8903841
