item_id,num_entities,avg_score,max_score,min_score
298,9,3.0542152,5.306029,1.525846
320,5,-0.7704975,0.44634825,-3.7985935
541,9,0.7782456,6.634252,-3.7526665
885,12,0.8762777,6.634252,-2.5780647
903,8,2.4079885,5.306029,-0.78751916
964,9,2.7370005,5.306029,1.1008205
1415,10,0.8697313,6.634252,-2.9892983
1471,7,-0.6389559,1.5047281,-4.871732
1589,9,2.582629,6.634252,0.046024825
2237,14,1.5785544,5.306029,-0.9169067
2726,12,2.4681468,5.306029,-0.2934942
2738,6,2.3528726,6.634252,-3.55736
2796,11,0.41201913,4.7448416,-2.4728665
2836,8,1.4139994,6.634252,-3.55736
2914,6,2.2040913,4.096622,-1.3584179
2919,6,1.0172944,2.8015752,-2.1405766
2942,6,1.1831521,2.5710502,-2.4728665
3404,8,1.9375031,5.306029,-2.3492653
3485,4,1.3002474,3.3407776,-0.43462992
3992,8,1.7189174,6.634252,-1.7533438
4204,7,1.725839,6.634252,-1.9279283
4354,8,2.6770356,5.306029,0.8064559
4440,9,2.3848572,4.9838715,-0.43503904
4719,12,0.3430953,5.306029,-3.55736
4725,5,1.5858911,5.306029,-3.55736
4777,10,1.4354103,5.306029,-3.55736
4835,12,1.8587565,5.306029,-0.56858337
5383,10,1.8149382,5.306029,-1.531865
5555,11,2.8327858,6.4144516,-0.17865767
5709,9,1.2294847,3.3099897,-0.29698244
5893,9,1.0160376,5.306029,-3.55736
5898,8,1.8141158,6.634252,-1.4061092
6165,7,0.49942896,4.8309155,-1.6050172
6234,7,3.2040467,4.8607674,1.1359105
6516,11,0.85288274,5.306029,-3.7985935
6772,10,1.3334916,3.323649,0.05896571
7295,9,-0.22608389,3.6385214,-2.37559
7490,10,1.6859392,3.6054022,-2.4728665
7523,7,1.8800837,6.634252,-3.55736
7576,9,0.7961972,5.306029,-4.3879833
7885,10,2.0569084,5.581389,-0.040469885
8098,6,2.4221318,4.965731,-0.0019954927
8646,12,2.4409704,6.634252,-0.6618024
9484,12,0.78539747,4.982204,-2.8723276
9502,11,2.9512537,5.7712765,-0.010920305
9615,15,1.4398935,3.1475372,-2.9130301
10146,11,3.8546402,5.4458184,0.22394116
11089,5,4.358661,5.2001953,2.8178813
11187,14,2.236135,6.634252,-1.822497
11836,6,3.512447,6.634252,0.5122224
11938,8,0.8757531,6.634252,-3.55736
12263,8,3.4065123,5.306029,1.4207537
12446,9,2.3879552,5.306029,0.36041608
12764,7,-0.06022038,2.2654977,-2.4728665
13185,9,0.65539277,3.726565,-2.8723276
13502,6,0.22098635,6.634252,-1.5097977
13571,11,0.5388622,3.2146423,-1.8365138
13660,8,-0.26933807,4.002492,-3.7526665
14051,8,0.26186368,2.0643795,-0.9434603
