item_id,entity_id,entity_name,score
4352,26682,specialty food shop,4.169507
4352,17406,charcuterie,3.8113935
4352,26681,meat-based dishes,3.5256076
4352,14112,New Orleans,3.336121
4352,14463,meat,0.7093893
4352,14719,sandwiches,0.40257904
7228,14112,New Orleans,3.336121
7228,14397,food enthusiasts,1.9113381
7228,14387,modern,1.5366441
7228,14402,Italian,1.5002505
7228,16705,dining experience,1.3977795
7228,14401,italian restaurant,1.1071193
7228,17589,pasta,0.9412308
7228,14469,excellent service,-0.40376455
7228,14443,small plates,-0.62578505
7228,14304,pizza,-0.73275596
9902,14159,Fans of Cajun/Creole cuisine,5.63975
9902,14112,New Orleans,3.336121
9902,14150,cajun cuisine,2.472773
9902,14151,creole cuisine,2.1909227
9902,14211,seafood enthusiasts,1.959314
9902,37569,Oyster House,1.7511766
9902,14206,seafood,1.4452041
9902,37570,New Orleans dining experience,1.3278729
