item_id,entity_id,entity_name,score
5913,14112,New Orleans,4.891301
5913,14151,creole cuisine,4.4665174
5913,14150,cajun cuisine,3.8815174
5913,14113,restaurant,3.4465716
5913,15941,live jazz music,3.4279346
5913,14159,Fans of Cajun/Creole cuisine,3.3628476
5913,30020,Jazz music enthusiasts,2.4765193
5913,18639,classic dishes,2.0994043
5913,19597,unique dining experience,1.2672395
10052,14112,New Orleans,4.891301
10052,15834,limited menu options,4.506736
10052,37824,various dining occasions,3.6984663
10052,16551,upscale ambiance,2.5203292
10052,14469,excellent service,2.460307
10052,37822,creative food presentations,2.238882
10052,37823,food presentations,1.9266568
10052,35293,casual attire,1.6771683
10052,20708,upscale food,0.69837105
