item_id,entity_id,entity_name,score
1436,17974,tapas bars,3.2503004
1436,14568,flavorful dishes,3.0816748
1436,17252,charming ambiance,2.75829
1436,14093,Philadelphia,2.6324759
1436,14215,attentive service,2.1816657
5755,14419,meat dishes,3.4227452
5755,14314,Mediterranean cuisine,3.2889028
5755,14304,pizza,3.28574
5755,14093,Philadelphia,2.6324759
5755,21631,memorable dining experience,2.2771602
5755,14113,restaurant,1.7429943
5755,14397,food enthusiasts,1.5266217
5755,24442,decadent desserts,1.4664514
5755,17589,pasta,0.88327634
5755,14402,Italian,-0.37762362
7175,32512,chic and trendy dining experience,4.0716953
7175,14568,flavorful dishes,3.0816748
7175,14093,Philadelphia,2.6324759
7175,32513,Fans of Iron Chef Morimoto,1.3028549
7175,14469,excellent service,1.1132728
7175,14643,Japanese cuisine,1.0946689
7175,32514,Japanese cuisine enthusiasts,0.8060323
7175,32515,Individuals looking for a high-quality and flavorful dishes,0.7548097
7175,15777,high-quality dishes,0.10677187
9021,14352,dish,3.4804993
9021,18347,innovative drinks,2.9272604
9021,35943,innovative drink options,2.7414017
9021,14093,Philadelphia,2.6324759
9021,15741,great atmosphere,1.5956916
9021,23567,charming setting,0.25608137
9021,14933,delicious dishes,-2.0113204
