item_id,num_entities,avg_score,max_score,min_score
291,9,0.22818848,3.3744009,-2.4831765
303,8,0.93401504,6.0207496,-1.7900828
771,8,-1.0696367,2.0616934,-2.6790965
880,11,0.58311963,3.5998955,-2.4188232
1491,9,0.3080145,2.1982367,-4.01868
1990,11,-0.42499316,2.0616934,-4.34499
2880,7,0.29443246,4.8743887,-3.9018257
3054,10,1.8054497,3.619014,-1.198376
3099,11,0.42368355,6.3499722,-4.01868
3517,6,1.3358531,6.042411,-2.3924267
4118,10,-0.060818564,2.0616934,-1.8377777
4293,8,-0.5745045,2.9956117,-3.513778
4417,8,-0.03979999,2.0616934,-2.2538772
4624,8,0.18793881,2.819764,-1.78328
5773,7,0.2711343,2.0616934,-2.7374203
5941,6,0.1669751,2.0616934,-1.5266032
6388,7,1.844311,5.763694,-1.8741225
6615,8,-0.7504289,2.0616934,-3.0591152
6759,8,-1.0476116,2.0616934,-3.0591152
7013,14,0.23876026,2.1469753,-4.075193
7120,11,0.9387579,2.0616934,-0.17598453
7188,12,-0.15725599,4.801744,-2.9161017
7291,7,0.15521812,3.8256915,-2.426289
7297,6,-0.3019339,2.0616934,-2.5356896
8560,11,0.114952974,1.2496936,-0.97990197
8636,14,1.8416822,5.2164874,-1.060153
9192,9,-0.26299638,2.7811308,-2.2612407
9939,8,-1.1790266,2.0010464,-3.6208897
10240,6,0.23131175,2.0616934,-3.0591152
10680,9,-0.34636226,2.614144,-4.01868
10708,6,2.1545756,6.190493,-1.2929772
11757,6,-0.23030627,2.0616934,-3.5267434
11797,8,-1.2582914,2.0616934,-3.2453623
11883,15,0.03198862,5.706691,-3.513778
11970,8,-0.72498053,2.3730326,-4.01868
12728,11,-0.6036969,3.4130666,-2.2612407
12764,7,1.1118908,4.5780144,-1.9422424
12981,7,0.023705823,2.5502362,-2.0400805
13039,11,-0.1366993,4.100476,-2.2612407
13501,8,2.3203242,5.706691,-0.5988904
13628,11,-0.7452107,2.0616934,-5.3558393
13663,9,-0.45720756,3.078987,-2.7141938
