item_id,num_entities,avg_score,max_score,min_score
12,8,0.5896411,6.230043,-2.32635
40,9,0.6183287,6.230043,-2.342548
41,9,1.4752192,5.8524475,-0.9523962
47,11,1.6987706,6.230043,-0.22689013
58,9,0.26065338,5.268725,-2.5484624
105,3,0.5068183,0.885463,0.1390326
123,6,0.9431531,6.230043,-2.2476285
462,7,-0.6604699,3.5903285,-3.4173787
618,9,-0.14857191,4.8848944,-2.5484624
796,10,0.30854914,5.1573343,-2.2789237
1306,7,0.8514992,2.9707823,-2.1900306
1365,8,2.033515,5.5611963,-1.2083306
1419,9,1.4462695,6.230043,-1.9356279
1465,8,0.6658518,5.6496315,-3.7024386
1587,7,0.9314063,2.4875937,-0.9639968
1691,7,0.45396656,1.87676,-1.9356279
1807,10,0.046251964,6.230043,-3.1275363
1821,5,0.5627491,3.8450024,-2.3183107
2035,9,1.0826992,5.268725,-1.5869544
2662,11,0.5196206,3.1600845,-2.0010529
2774,9,2.5183282,6.230043,1.0309918
2797,8,1.8221674,4.4536996,-0.26497892
2892,11,1.4705117,6.230043,-2.3633578
3063,9,1.0754875,3.2226014,-0.3849935
3125,12,0.54007953,3.7696984,-1.7537113
3251,12,0.7725149,3.9953587,-1.5018278
3295,8,1.8919853,6.230043,-0.9608218
3502,6,2.5037143,5.3222704,-0.43984383
3551,6,0.47945872,6.230043,-0.9639968
4292,12,0.7094671,6.230043,-3.431129
4338,7,0.07468319,5.268725,-4.164275
4438,6,0.668879,6.230043,-1.6258935
4446,7,-0.6740034,1.3784796,-2.4701483
4477,9,-0.019506667,5.268725,-2.5484624
4737,7,-0.124276295,6.230043,-1.8229302
4843,8,1.0911562,5.9289823,-1.3972644
5056,14,0.5881255,5.7255607,-2.830809
5129,6,0.606746,4.6541395,-3.4173787
5322,11,0.39017525,6.230043,-2.3193393
5560,9,0.99191785,5.268725,-1.859094
5575,8,0.009001374,4.403882,-3.3101711
6140,10,1.0551775,6.230043,-2.734565
6256,6,0.51101786,5.7255607,-2.1900306
6474,9,-0.63445693,0.685339,-1.9266059
6504,7,0.544077,3.7312171,-1.882452
6779,10,1.240566,5.7255607,-1.9568534
6824,11,2.0717926,4.7843084,-1.5317492
6860,9,1.7568545,5.4272037,-3.065983
7024,9,1.9194465,6.230043,-1.5589398
7111,11,1.1782615,4.8848944,-1.9568534
7407,10,2.2945423,6.230043,0.71645653
7444,7,1.1022869,6.230043,-2.5484624
7466,9,0.9677355,5.268725,-1.5317492
7509,6,0.56598395,5.7255607,-2.3633578
7624,7,0.9925644,5.4272037,-1.5665756
8080,7,1.7246667,6.230043,-0.82720214
8224,8,0.59338415,2.6689734,-0.92122746
8390,8,1.75571,6.230043,-1.4016209
8572,7,0.9637886,6.230043,-2.5484624
8588,10,0.901206,5.268725,-3.0562727
8685,6,2.3591917,4.8848944,-0.2643614
8744,16,1.2681197,6.230043,-0.9594461
8887,7,0.46355847,5.7255607,-1.9186769
8974,9,1.9052511,5.6496315,-0.6262085
9014,12,0.6006578,3.9679635,-1.7194115
9126,7,2.1355915,6.230043,-1.5317492
9154,11,-0.80837977,3.0036445,-2.1050744
9607,12,0.8050573,5.7255607,-2.3452485
9661,7,2.0366797,6.230043,-0.21666662
9698,13,1.0029515,5.268725,-1.4534327
9950,8,1.246596,6.230043,-0.8255339
10054,8,0.27361226,2.72552,-1.4536912
10324,7,1.1745504,6.230043,-1.2230145
10372,3,0.36971712,2.5649164,-1.5453026
10448,10,0.7392383,5.7255607,-2.5484624
10775,6,0.68823904,6.230043,-1.4534327
11084,11,-0.71872634,1.6380352,-2.1269343
11299,7,0.12932141,3.5664444,-2.209112
11311,9,-0.31881568,1.73011,-2.734565
11359,9,1.1500236,3.052334,-1.5317492
11552,9,0.07119446,1.4637829,-2.0490754
12210,7,-0.6909699,6.230043,-3.7325013
12272,7,0.85673195,3.7696984,-0.9313033
12281,11,1.1922969,4.8848944,-3.0009768
12347,17,0.48584747,5.268725,-3.065983
12587,6,1.1339972,6.230043,-1.0822889
12618,9,0.8165547,2.579465,-0.38905504
12723,10,1.65203,5.7255607,-0.26497892
12809,8,1.8398919,6.230043,-1.626915
12948,7,1.5563487,5.1368585,-2.111311
12970,10,2.7508264,5.7255607,0.8722595
12976,11,1.2825922,6.230043,-1.8446828
13100,9,1.1639374,4.8848944,-2.5484624
13111,7,1.985133,6.230043,-2.5836902
13588,10,-0.7645202,1.3770437,-2.7804093
13591,6,0.5590444,2.3572295,-1.2083306
13807,8,1.9617128,5.7255607,-0.8341286
13860,14,-0.05149569,6.230043,-3.503966
14008,13,0.070384316,6.230043,-4.296996
14075,9,0.5298272,5.7255607,-2.1050744
