item_id,item_name,tail_id,tail_name,relation_id,relation_name,attention_score
10476,Unknown_10476,14178,Reno,7,located in,0.9887657761573792
10476,Unknown_10476,49246,User_4440,1,InteractedBy,0.002407427877187729
10476,Unknown_10476,14612,pizza restaurant,8,is a,0.002306482521817088
10476,Unknown_10476,60445,User_15639,1,InteractedBy,0.0020549448672682047
10476,Unknown_10476,55648,User_10842,1,InteractedBy,0.00037861496093682945
10476,Unknown_10476,56967,User_12161,1,InteractedBy,0.0003506274370010942
10476,Unknown_10476,50103,User_5297,1,InteractedBy,0.000300107232760638
10476,Unknown_10476,57927,User_13121,1,InteractedBy,0.00027351980679668486
10476,Unknown_10476,46182,User_1376,1,InteractedBy,0.0002672466798685491
10476,Unknown_10476,51501,User_6695,1,InteractedBy,0.0001810039539122954
10476,Unknown_10476,14304,pizza,2,serves,0.00017941392434295267
10476,Unknown_10476,48893,User_4087,1,InteractedBy,0.00017650068912189454
10476,Unknown_10476,49665,User_4859,1,InteractedBy,0.0001633688370930031
10476,Unknown_10476,52548,User_7742,1,InteractedBy,0.00016159770893864334
10476,Unknown_10476,56916,User_12110,1,InteractedBy,0.00015865387103985995
10476,Unknown_10476,59499,User_14693,1,InteractedBy,0.00014632461534347385
10476,Unknown_10476,60308,User_15502,1,InteractedBy,0.00013913385919295251
10476,Unknown_10476,54670,User_9864,1,InteractedBy,0.00013744851457886398
10476,Unknown_10476,52655,User_7849,1,InteractedBy,0.00012069543299730867
10476,Unknown_10476,50420,User_5614,1,InteractedBy,0.00011291132250335068
10476,Unknown_10476,60639,User_15833,1,InteractedBy,9.202590445056558e-05
10476,Unknown_10476,56570,User_11764,1,InteractedBy,8.720768528291956e-05
10476,Unknown_10476,48546,User_3740,1,InteractedBy,7.44884746382013e-05
10476,Unknown_10476,51745,User_6939,1,InteractedBy,7.073448796290904e-05
10476,Unknown_10476,54050,User_9244,1,InteractedBy,6.944532651687041e-05
10476,Unknown_10476,56909,User_12103,1,InteractedBy,6.649961869698018e-05
10476,Unknown_10476,55713,User_10907,1,InteractedBy,6.209954153746367e-05
10476,Unknown_10476,51263,User_6457,1,InteractedBy,5.949429760221392e-05
10476,Unknown_10476,51166,User_6360,1,InteractedBy,5.736513412557542e-05
10476,Unknown_10476,58542,User_13736,1,InteractedBy,5.640321978717111e-05
10476,Unknown_10476,54897,User_10091,1,InteractedBy,5.5570089898537844e-05
10476,Unknown_10476,48214,User_3408,1,InteractedBy,5.524127482203767e-05
10476,Unknown_10476,53673,User_8867,1,InteractedBy,4.692913353210315e-05
10476,Unknown_10476,52313,User_7507,1,InteractedBy,4.362844629213214e-05
10476,Unknown_10476,46114,User_1308,1,InteractedBy,3.963284325436689e-05
10476,Unknown_10476,58235,User_13429,1,InteractedBy,3.255162664572708e-05
10476,Unknown_10476,47312,User_2506,1,InteractedBy,3.152632780256681e-05
10476,Unknown_10476,14214,cozy,4,has atmosphere,2.7530235456652008e-05
10476,Unknown_10476,45852,User_1046,1,InteractedBy,2.7470126951811835e-05
10476,Unknown_10476,51611,User_6805,1,InteractedBy,1.9913160940632224e-05
10476,Unknown_10476,56184,User_11378,1,InteractedBy,1.98175275727408e-05
10476,Unknown_10476,60069,User_15263,1,InteractedBy,1.712506309559103e-05
10476,Unknown_10476,53563,User_8757,1,InteractedBy,1.6062625945778564e-05
10476,Unknown_10476,14277,fresh ingredients,5,has feature,1.462490763515234e-05
10476,Unknown_10476,50904,User_6098,1,InteractedBy,1.2576823792187497e-05
10476,Unknown_10476,55437,User_10631,1,InteractedBy,1.1759089829865843e-05
10476,Unknown_10476,46774,User_1968,1,InteractedBy,1.1111748790426645e-05
10476,Unknown_10476,46476,User_1670,1,InteractedBy,1.1028547305613756e-05
10476,Unknown_10476,21981,wood-fired pizzas,2,serves,6.790597581129987e-06
10476,Unknown_10476,51023,User_6217,1,InteractedBy,6.3215397858584765e-06
10476,Unknown_10476,54873,User_10067,1,InteractedBy,5.808300556964241e-06
10476,Unknown_10476,15371,pizza lovers,9,appeals to,4.678647201217245e-06
10476,Unknown_10476,25198,creative flavor combinations,5,has feature,4.659557816921733e-06
1824,Unknown_1824,20666,Outlet mall,8,is a,0.558567225933075
1824,Unknown_1824,14238,Tampa,7,located in,0.1252492070198059
1824,Unknown_1824,56265,User_11459,1,InteractedBy,0.04400956630706787
1824,Unknown_1824,51152,User_6346,1,InteractedBy,0.039690759032964706
1824,Unknown_1824,16805,clothing,3,offers,0.034161318093538284
1824,Unknown_1824,59594,User_14788,1,InteractedBy,0.029785973951220512
1824,Unknown_1824,48560,User_3754,1,InteractedBy,0.02707689255475998
1824,Unknown_1824,20667,shoes,3,offers,0.014066195115447044
1824,Unknown_1824,54910,User_10104,1,InteractedBy,0.012597702443599701
1824,Unknown_1824,44901,User_95,1,InteractedBy,0.011572765186429024
1824,Unknown_1824,49548,User_4742,1,InteractedBy,0.009251055307686329
1824,Unknown_1824,47521,User_2715,1,InteractedBy,0.009230379946529865
1824,Unknown_1824,55979,User_11173,1,InteractedBy,0.006450570188462734
1824,Unknown_1824,50051,User_5245,1,InteractedBy,0.0062129613943398
1824,Unknown_1824,20668,handbags,3,offers,0.006201299838721752
1824,Unknown_1824,53736,User_8930,1,InteractedBy,0.006107492372393608
1824,Unknown_1824,47726,User_2920,1,InteractedBy,0.005320251453667879
1824,Unknown_1824,20669,stores,21,category,0.005060552153736353
1824,Unknown_1824,48085,User_3279,1,InteractedBy,0.004408742766827345
1824,Unknown_1824,51696,User_6890,1,InteractedBy,0.003748169168829918
1824,Unknown_1824,51602,User_6796,1,InteractedBy,0.0037076047156006098
1824,Unknown_1824,53359,User_8553,1,InteractedBy,0.003330360632389784
1824,Unknown_1824,55685,User_10879,1,InteractedBy,0.003308350220322609
1824,Unknown_1824,60178,User_15372,1,InteractedBy,0.003216970944777131
1824,Unknown_1824,46314,User_1508,1,InteractedBy,0.003201967105269432
1824,Unknown_1824,45676,User_870,1,InteractedBy,0.0031496176961809397
1824,Unknown_1824,57701,User_12895,1,InteractedBy,0.0024246780667454004
1824,Unknown_1824,47808,User_3002,1,InteractedBy,0.0023589320480823517
1824,Unknown_1824,47842,User_3036,1,InteractedBy,0.0020561220590025187
1824,Unknown_1824,51910,User_7104,1,InteractedBy,0.0017437987262383103
1824,Unknown_1824,48825,User_4019,1,InteractedBy,0.0013074555899947882
1824,Unknown_1824,49728,User_4922,1,InteractedBy,0.0013051347341388464
1824,Unknown_1824,14408,families,10,suitable for,0.0012287880526855588
1824,Unknown_1824,48401,User_3595,1,InteractedBy,0.0012191127752885222
1824,Unknown_1824,46049,User_1243,1,InteractedBy,0.0010195160284638405
1824,Unknown_1824,54778,User_9972,1,InteractedBy,0.0009631489519961178
1824,Unknown_1824,51083,User_6277,1,InteractedBy,0.00089613301679492
1824,Unknown_1824,56776,User_11970,1,InteractedBy,0.00087838462786749
1824,Unknown_1824,20671,spacious,4,has atmosphere,0.0007623463752679527
1824,Unknown_1824,58595,User_13789,1,InteractedBy,0.0007257674005813897
1824,Unknown_1824,45670,User_864,1,InteractedBy,0.0006893243989907205
1824,Unknown_1824,20672,welcoming place,4,has atmosphere,0.0006771024200133979
1824,Unknown_1824,59200,User_14394,1,InteractedBy,0.0004664371663238853
1824,Unknown_1824,14596,secure environment,5,has feature,0.00021888036280870438
1824,Unknown_1824,20670,well-kept amenities,5,has feature,0.00018327745783608407
1824,Unknown_1824,17826,ample parking,5,has feature,0.00014779942284803838
1824,Unknown_1824,15308,comfortable environment,5,has feature,4.38261340605095e-05
409,Unknown_409,16083,bourbon enthusiasts,6,caters to,0.9688498377799988
409,Unknown_409,16084,St Charles,7,located in,0.004947131033986807
409,Unknown_409,45484,User_678,1,InteractedBy,0.0032090381719172
409,Unknown_409,14214,cozy,4,has atmosphere,0.002790838247165084
409,Unknown_409,56897,User_12091,1,InteractedBy,0.0027185294311493635
409,Unknown_409,50026,User_5220,1,InteractedBy,0.0024614406283944845
409,Unknown_409,52992,User_8186,1,InteractedBy,0.0016841753385961056
409,Unknown_409,53497,User_8691,1,InteractedBy,0.0012302105315029621
409,Unknown_409,53300,User_8494,1,InteractedBy,0.001216256176121533
409,Unknown_409,58049,User_13243,1,InteractedBy,0.0011235333513468504
409,Unknown_409,47323,User_2517,1,InteractedBy,0.000952495145611465
409,Unknown_409,52017,User_7211,1,InteractedBy,0.0009193453006446362
409,Unknown_409,45897,User_1091,1,InteractedBy,0.0007043072837404907
409,Unknown_409,53457,User_8651,1,InteractedBy,0.0006721341633237898
409,Unknown_409,57820,User_13014,1,InteractedBy,0.0006210476858541369
409,Unknown_409,46379,User_1573,1,InteractedBy,0.0006118567544035614
409,Unknown_409,49216,User_4410,1,InteractedBy,0.0005916631198488176
409,Unknown_409,53853,User_9047,1,InteractedBy,0.00048659410094842315
409,Unknown_409,48522,User_3716,1,InteractedBy,0.00045129426871426404
409,Unknown_409,54703,User_9897,1,InteractedBy,0.00042159712756983936
409,Unknown_409,47410,User_2604,1,InteractedBy,0.00040259165689349174
409,Unknown_409,49889,User_5083,1,InteractedBy,0.0003971764526795596
409,Unknown_409,16081,fans of southern comfort food,6,caters to,0.0003693089238367975
409,Unknown_409,16082,Whiskey enthusiasts,6,caters to,0.0002772426523733884
409,Unknown_409,46398,User_1592,1,InteractedBy,0.0002699982142075896
409,Unknown_409,49250,User_4444,1,InteractedBy,0.00026594765949994326
409,Unknown_409,53979,User_9173,1,InteractedBy,0.00020953094644937664
409,Unknown_409,45335,User_529,1,InteractedBy,0.00018916586122941226
409,Unknown_409,14208,good service,5,has feature,0.0001651612255955115
409,Unknown_409,16080,fans of barbecue,6,caters to,0.00014301884220913053
409,Unknown_409,14250,barbecue,2,serves,0.00013736750406678766
409,Unknown_409,48740,User_3934,1,InteractedBy,0.00013532425509765744
409,Unknown_409,46299,User_1493,1,InteractedBy,8.631965465610847e-05
409,Unknown_409,15518,southern comfort food,2,serves,7.02413308317773e-05
409,Unknown_409,45956,User_1150,1,InteractedBy,5.332311047823168e-05
409,Unknown_409,53461,User_8655,1,InteractedBy,5.113051156513393e-05
409,Unknown_409,52109,User_7303,1,InteractedBy,3.967178054153919e-05
409,Unknown_409,50277,User_5471,1,InteractedBy,3.717143044923432e-05
409,Unknown_409,48340,User_3534,1,InteractedBy,3.6729681596625596e-05
12149,Unknown_12149,14353,Nashville,7,located in,0.9896966218948364
12149,Unknown_12149,14222,live music,5,has feature,0.0034399565774947405
12149,Unknown_12149,41522,multilevel entertainment venues,5,has feature,0.0022041392512619495
12149,Unknown_12149,14783,drinks,2,serves,0.0009501996682956815
12149,Unknown_12149,53454,User_8648,1,InteractedBy,0.000668996712192893
12149,Unknown_12149,41523,multi-level entertainment venues,5,has feature,0.0004998300573788583
12149,Unknown_12149,58440,User_13634,1,InteractedBy,0.000424057652708143
12149,Unknown_12149,54122,User_9316,1,InteractedBy,0.0003937249712180346
12149,Unknown_12149,54053,User_9247,1,InteractedBy,0.0002625594206620008
12149,Unknown_12149,49019,User_4213,1,InteractedBy,0.00024127698270604014
12149,Unknown_12149,52631,User_7825,1,InteractedBy,0.0002275973092764616
12149,Unknown_12149,16699,diverse crowds,4,has atmosphere,0.0001700116554275155
12149,Unknown_12149,55182,User_10376,1,InteractedBy,0.00016439826868008822
12149,Unknown_12149,53864,User_9058,1,InteractedBy,0.0001459311752114445
12149,Unknown_12149,54014,User_9208,1,InteractedBy,0.00012213429727125913
12149,Unknown_12149,57506,User_12700,1,InteractedBy,0.00011799836647696793
12149,Unknown_12149,58139,User_13333,1,InteractedBy,7.962223753565922e-05
12149,Unknown_12149,45932,User_1126,1,InteractedBy,6.661410589003935e-05
12149,Unknown_12149,14271,great food,2,serves,6.0890972235938534e-05
12149,Unknown_12149,59554,User_14748,1,InteractedBy,3.5572138585848734e-05
12149,Unknown_12149,55787,User_10981,1,InteractedBy,2.7952408345299773e-05
4506,Unknown_4506,14118,Tucson,7,located in,0.95921790599823
4506,Unknown_4506,27044,Fans of reasonably priced food,9,appeals to,0.01860084757208824
4506,Unknown_4506,16592,students,6,caters to,0.009255515411496162
4506,Unknown_4506,14214,cozy,4,has atmosphere,0.0028889933601021767
4506,Unknown_4506,55719,User_10913,1,InteractedBy,0.0018644954543560743
4506,Unknown_4506,60695,User_15889,1,InteractedBy,0.001758576137945056
4506,Unknown_4506,14306,vegan options,6,caters to,0.0014537789393216372
4506,Unknown_4506,51646,User_6840,1,InteractedBy,0.0014519832329824567
4506,Unknown_4506,14793,Thai cioisine,2,serves,0.0006356637459248304
4506,Unknown_4506,54515,User_9709,1,InteractedBy,0.0006144027574919164
4506,Unknown_4506,55503,User_10697,1,InteractedBy,0.0004631386254914105
